Common_Nm,Species,Class,Top 30 worst,Doublechecker,Notes (include refs where applicable),Reference in Appendix,Double check completed? ,Disease Agent (to remove),Domesticated (to set as diverse),Continents,Countries
Ruddy duck,Oxyura jamaicensis,Chordata,,Emma,Removed EUR (CABI),Other Generic Databases,1,,,SA;NAm,Argentina;Bolivia;Chile;Canada;United States;Mexico;Puerto Rico;Colombia;Peru;Grenada;Montserrat;St. Vincent & Grenadines;Anguilla;Antigua & Barbuda;Barbados;British Virgin Islands;Cuba;Dominica;Dominican Republic;Guadeloupe;Haiti;Jamaica;Martinique;St. Kitts & Nevis;St. Lucia;U.S. Virgin Islands
American signal crayfish,Pacifastacus leniusculus,Arthropoda,,Emma,Removed EUR (CABI),Other Generic Databases,1,,,NAm,Canada;United States
Parkinsonia,Parkinsonia aculeata,Tracheophyta,,Emma,Correct,NA,1,,,SA;NAm,Argentina;Bolivia;Brazil;Paraguay;Uruguay;United States;Mexico;Costa Rica;El Salvador;Guatemala;Nicaragua;Panama;Colombia;Ecuador;French Guiana;Peru;Suriname;Venezuela;Bahamas
马铃薯块茎蛾,Phthorimaea operculella,Arthropoda,,Emma,Correct,NA,1,,,SA,
Swedish ivy,Plectranthus parviflorus,Tracheophyta,,Emma,Added USA (http://nativeplants.hawaii.edu/plant/view/Plectranthus_parviflorus),YES,1,,,NAm,USA
White-lipped Tree Frog,Polypedates leucomystax,Chordata,,Emma,Correct,NA,1,,,AS,
Poplar trees,Populus spp.,Tracheophyta,,Emma,"Maybe remove bc not resolved to species level, added NAm",NA,1,,,EUR;AS;AF; NAm,Algeria;Morocco;Tunisia;China;Kazakhstan;Turkey;Turkmenistan;Uzbekistan;Albania;Austria;Belarus;Bulgaria;France;Germany;Greece;Hungary;Italy;Poland;Romania;Russia;Spain;Switzerland;Ukraine
Larger grain borer,Prostephanus truncatus,Arthropoda,,Emma,Correct,NA,1,,,SA;NAm,United States;Mexico;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Colombia
Light-vented Bulbul,Pycnonotus sinensis,Chordata,,Emma,"Correct, added countries (Birdlife)",NA,1,,,AS,China; Taiwan; Vietnam
Rat,Rattus sp.,Chordata,,Emma,Correct but maybe remove,NA,1,,,AS,India
Walnut husk fly,Rhagoletis completa,Arthropoda,,Emma,Changed to NAm (eppo),NA,1,,,NAm,
wingleaf soapberry,Sapindus saponaria,Tracheophyta,,Emma,Added SA (missouribotanicalgarden.org),Other Generic Databases,1,,,NAm; SA,Argentina;Bolivia;Brazil;Paraguay;Mexico;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;Peru;Venezuela;Antigua & Barbuda;Barbados;Cuba;Dominican Republic;Haiti;Jamaica;Bahamas;Cayman Islands
Grey squirrel,Sciurus carolinensis,Chordata,,Emma,Correct,NA,1,,,NAm,Canada;United States
Sinanodonta,Sinanodonta woodiana,Mollusca,,Emma,Correct,NA,1,,,AS,
Bugweed,Solanum mauritianum,Tracheophyta,,Emma,Correct,NA,1,,,SA,Argentina;Brazil;Paraguay;Uruguay
Allepo grass,Sorghum halepense,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;AF,Afghanistan;Armenia;Azerbaijan;India;Iran;Iraq;Israel;Jordan;Kazakhstan;Kyrgyzstan;Lebanon;Pakistan;Syria;Turkey;Turkmenistan;Uzbekistan;Russia;Egypt;Libya;Bahrain;Oman;Saudi Arabia
Common shipworm,Teredo navalis,Mollusca,,Emma,UNK (ADW),Other Generic Databases,1,,,UNK,
Greenhouse whitefly,Trialeurodes vaporariorum,Arthropoda,,Emma,UNK (CABI),Other Generic Databases,1,,,UNK,
,Typha domingensis,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;OC;AF;SA;NAm,Algeria;Morocco;Tunisia;India;Iran;Iraq;Israel;Jordan;Lebanon;Pakistan;Syria;Turkey;Albania;Bulgaria;France;Greece;Italy;Portugal;Russia;Spain;Australia;Chad;Egypt;Eritrea;Ethiopia;Kenya;Libya;Mali;Mauritania;Niger;Somalia;Sudan;Western Sahara;Saudi Arabia;Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;United States;Mexico;Tanzania;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;Guyana;Peru;Suriname;Venezuela;Benin;Cameroon;Ghana;Guinea-Bissau;Nigeria;Senegal;Uganda;Cuba;Dominican Republic;Haiti;Jamaica;U.S. Virgin Islands;Bahamas;Cayman Islands;Namibia;Seychelles;South Africa;Zambia;Malawi;Philippines;Papua New Guinea;Bermuda
Karroothorn,Vachellia karroo,Tracheophyta,,Emma,Correct,NA,1,,,AF,Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Malawi;Zimbabwe;Eswatini;Lesotho
Yellow-legged hornet,Vespa velutina,Arthropoda,,Emma,Correct,NA,1,,,AS,Afghanistan;Bhutan;China;India;Laos;Myanmar (Burma);Nepal;Pakistan;Taiwan;Thailand;Vietnam;Indonesia;Malaysia
,Agave tequilana,Tracheophyta,,Emma,Correct,NA,1,,,NAm,Mexico
Egyptian goose,Alopochen aegyptiaca,Chordata,,Emma,Correct,NA,1,,,EUR;AS;AF,Algeria;Tunisia;Burkina Faso;Chad;Djibouti;Egypt;Eritrea;Ethiopia;Kenya;Mali;Mauritania;Niger;Somalia;Sudan;Oman;Tanzania;Benin;Cameroon;C√¥te d‚ÄôIvoire;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Gabon;Mozambique;Namibia;South Africa;Zambia;Cyprus;Malta;Angola;Botswana;Burundi;Congo - Brazzaville;Malawi;Sierra Leone;Zimbabwe;Equatorial Guinea;Eswatini;Lesotho;Rwanda;Central African Republic
Arrui,Ammotragus lervia,Chordata,,Emma,Correct,NA,1,,,AF,Algeria;Morocco;Tunisia;Chad;Egypt;Libya;Mali;Mauritania;Niger;Sudan;Western Sahara
Mosquito,Anopheles darlingi,Arthropoda,,Emma,"Correct, Southern Mexico to Northen Argentina, https://parasitesandvectors.biomedcentral.com/articles/10.1186/1756-3305-4-177",YES,1,,,SA;NAm,
Asian long-horned beetle,Anoplophora glabripennis,Arthropoda,1,Emma,removed Europe (CABI),Other Generic Databases,1,,,AS,China;North Korea;South Korea;Hong Kong SAR China
mugwort,Artemisia vulgaris,Tracheophyta,,Emma,"removed US (naturalized but not native, USDA.gov)",Other Generic Databases,1,,,EUR,
Water fern,Azolla filiculoides,Tracheophyta,,Emma,"removed Spain (naturalized), kept EUR because of French Guiana",NA,1,,,EUR; SA;NAm,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Canada;United States;Mexico;Costa Rica;Guatemala;Honduras;Nicaragua;Colombia;Ecuador;French Guiana;Peru;Venezuela
Oriental fruit fly,Bactrocera dorsalis,Arthropoda,,Emma,Correct,NA,1,,,AS,Bangladesh;Bhutan;Indonesia;Malaysia;Brunei;Singapore;Christmas Island
Tobacco whitefly,Bemisia tabaci,Arthropoda,,Emma,Correct,NA,1,,,AS,
,Brachiaria eminii,Tracheophyta,,Emma,Correct,NA,1,,,AF,
Cheatgrass,Bromus tectorum,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;AF,Afghanistan;Armenia;Azerbaijan;China;Georgia;India;Iran;Iraq;Israel;Jordan;Kazakhstan;Kyrgyzstan;Lebanon;Pakistan;Syria;Tajikistan;Turkey;Turkmenistan;Uzbekistan;Albania;Belarus;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Greece;Hungary;Moldova;Montenegro;North Macedonia;Romania;Russia;Slovakia;Ukraine;Serbia;Egypt;Kuwait;Saudi Arabia;United Arab Emirates;Cyprus
Cranc blau,Callinectes sapidus,Arthropoda,,Emma,Correct,NA,1,,,EUR;AF;SA;NAm,Netherlands;Argentina;Brazil;Chile;Uruguay;Canada;United States;Belize;Colombia;Ecuador;Venezuela;Nigeria;Bermuda
Feral goat,Capra hircus,Chordata,,Emma,"Removed USA, changed country to Iran (location of domestication, CABI)",Other Generic Databases,1,,1,AS;,Iran
Buffel grass,Cenchrus ciliaris,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;AF,Morocco;Tunisia;Afghanistan;India;Iran;Iraq;Israel;Jordan;Pakistan;Syria;Italy;Spain;Indonesia;Burkina Faso;Djibouti;Egypt;Eritrea;Ethiopia;Kenya;Libya;Mali;Mauritania;Niger;Somalia;Sudan;Bahrain;Oman;Saudi Arabia;United Arab Emirates;Yemen;Tanzania;C√¥te d‚ÄôIvoire;Ghana;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Malawi;Sierra Leone;Zimbabwe;Equatorial Guinea;Eswatini;Madagascar;Rwanda
Mediterranean fruit fly,Ceratitis capitata,Arthropoda,1,Emma,removed Europe (CABI),Other Generic Databases,1,,,AF,Burkina Faso;Ethiopia;Kenya;Mali;Niger;Sudan;Tanzania;Benin;Cameroon;Cote d'Ivoire;Ghana;Guinea;Nigeria;Senegal;Togo;Uganda;Congo - Kinshasa;Gabon;Liberia;Mozambique;Namibia;South Africa;Zambia;Angola;Botswana;Burundi;Congo - Brazzaville;Malawi;Sierra Leone;Zimbabwe
,Cinchona pubescens,Tracheophyta,,Emma,Correct,NA,1,,,SA;NAm,Bolivia;Costa Rica;Panama;Colombia;Ecuador;Peru;Venezuela
Fiddlewood,Citharexylum gentryi,Tracheophyta,,Emma,removed NAm (GBIF),Other Generic Databases,1,,,SA,Ecuador
Lanceleaf tickseed,Coreopsis lanceolata,Tracheophyta,,Emma,Correct,NA,1,,,NAm,United States
,Crocosmia crocosmiiflora,Tracheophyta,,Emma,Correct,NA,1,,,AF,South Africa;Lesotho
Sweet potato weevil,Cylas formicarius,Arthropoda,,Emma,can't find any source,NA,1,,,UNK,
,Dactylopius opuntiae,Arthropoda,,Emma,can't find any source,NA,1,,,UNK,
Marabu,Dichrostachys cinerea,Tracheophyta,,Emma,Australian native range is debated but decided to keep,NA,1,,,AS;OC;AF;SA,Algeria;Tunisia;Afghanistan;China;Iraq;Israel;Pakistan;Sri Lanka;Djibouti;Eritrea;Ethiopia;Kenya;Libya;Somalia;Sudan;Western Sahara;Kuwait;Oman;Qatar;Saudi Arabia;United Arab Emirates;Brazil;Tanzania;Cameroon;Ghana;Nigeria;Togo;Uganda;R√©union;South Africa;Zambia;Malawi;Eswatini;Papua New Guinea;Madagascar
,Diospyros kaki,Tracheophyta,,Emma,"Added Myanmar, Japan,  http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:322553-1https://hort.purdue.edu/newcrop/morton/japanese_persimmon.html;",YES,1,,,AS,China;India;Taiwan;Vietnam; Myanmar; Japan
Russian wheat aphid,Diuraphis noxia,Arthropoda,,Emma,Switched to Asia (www.invasivespeciesinfo.gov),Other Generic Databases,1,,,As,
Flour moth,Ephestia kuehniella,Arthropoda,,Emma,Switched to Asia (CABI),Other Generic Databases,1,,,As,
Donkeys,Equus asinus,Chordata,,Emma,Correct,NA,1,,1,AF,Morocco;Djibouti;Eritrea;Ethiopia;Libya;Somalia;Sudan
Wild Horse,Equus caballus,Chordata,,Emma,Added Europe (CABI),Other Generic Databases,1,,1,AS; EU,
Banana skipper butterfly,Erionota thrax,Arthropoda,,Emma,"Removed SA, added countries (CABI),",Other Generic Databases,1,,,AS,Indonesia; Phillipines; India
Eucalyptus,Eucalyptus globulus,Tracheophyta,,Emma,Correct,NA,1,,,OC,Australia
blue gum,Eucalyptus pulverulenta,Tracheophyta,,Emma,Correct,NA,1,,,OC,Australia
edible dormouse,Glis glis,Chordata,,Emma,"Removed North America, added Asia (ADW)",Other Generic Databases,1,,,EUR;As,
Acerina,Gymnocephalus cernua,Chordata,,Emma,Correct,NA,1,,,EUR;AS,Afghanistan;China;Iran;Uzbekistan;Austria;Belgium;Bulgaria;Croatia;Czechia;Estonia;Finland;France;Germany;Hungary;Latvia;Lithuania;Montenegro;Netherlands;Poland;Romania;Russia;Slovakia;Switzerland;Ukraine;Serbia;Norway;Sweden
salmon fluke,Gyrodactylus salaris,Platyhelminthes,,Emma,Correct,NA,1,,,EUR,
Horn fly,Haematobia irritans,Arthropoda,1,Emma,Changed to Europe (https://parasitipedia.net/index.php?option=com_content&view=article&id=2393&Itemid=2657),Other Generic Databases,1,,,EUR,
Silky hakea,Hakea sericea,Tracheophyta,,Emma,Correct,NA,1,,,OC,Australia
Spanish bluebell,Hyacinthoides hispanica,Tracheophyta,,Emma,Added Spain (http://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:536678-1#synonyms),Other Generic Databases,1,,,EUR,Andorra;Portugal; Spain
Alfalfa weevil,Hypera postica,Arthropoda,,Emma,Changed to Europe (https://doi.org/10.2307%2F1932576),YES,1,,,EUR,
Curly waterweed,Lagarosiphon major,Tracheophyta,,Emma,Removed Europe (CABI),Other Generic Databases,1,,,AF,South Africa;Zambia;Botswana;Zimbabwe;Lesotho
Perennial pepperweed,Lepidium latifolium,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;AF,Algeria;Morocco;Afghanistan;Armenia;Azerbaijan;China;Georgia;India;Iran;Iraq;Israel;Jordan;Kazakhstan;Kyrgyzstan;Lebanon;Mongolia;Pakistan;Syria;Tajikistan;Turkey;Turkmenistan;Uzbekistan;Albania;Austria;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Croatia;Czechia;Finland;France;Germany;Greece;Hungary;Italy;Luxembourg;Montenegro;Netherlands;North Macedonia;Poland;Portugal;Romania;Russia;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Egypt;Denmark;Sweden;United Kingdom;Ireland;Cyprus
White leadtree,Leucaena leucocephala,Tracheophyta,,Emma,Removed Belize (CABI),Other Generic Databases,1,,,NAm,Mexico
Glossy privet,Ligustrum lucidum,Tracheophyta,,Emma,Correct,NA,1,,,AS,China;Japan;North Korea;South Korea;Hong Kong SAR China
Argentine Stem Weevil,Listronotus bonariensis,Arthropoda,,Emma,Changed to SA (Plantwise Knowledge Bank),Other Generic Databases,1,,,SA,
Lligabosc del Japó,Lonicera japonica,Tracheophyta,,Emma,Correct,NA,1,,,AS,China;Japan;North Korea;South Korea;Taiwan
Purple loosestrife,Lythrum salicaria,Tracheophyta,,Emma,Correct,NA,1,,,EUR;AS;OC;AF,Algeria;Morocco;Tunisia;Afghanistan;Armenia;Azerbaijan;China;Georgia;India;Iran;Iraq;Israel;Japan;Jordan;Lebanon;Mongolia;Pakistan;Palestinian Territories;Syria;Taiwan;Turkey;Albania;Austria;Belarus;Belgium;Bulgaria;Croatia;Czechia;Estonia;Finland;France;Germany;Greece;Hungary;Italy;Latvia;Lithuania;Moldova;Montenegro;Netherlands;Poland;Portugal;Romania;Russia;Slovakia;Spain;Switzerland;Ukraine;Serbia;Australia;Ethiopia;Denmark;Norway;Sweden;United Kingdom;Ireland;Macao SAR China;Hong Kong SAR China
Hibiscus Mealybug,Maconellicoccus hirsutus,Arthropoda,,Emma,Only AS (CABI),Other Generic Databases,1,,,AS,Bangladesh;Cambodia;China;India;Japan;Laos;Lebanon;Myanmar (Burma);Nepal;Pakistan;Sri Lanka;Taiwan;Thailand;Vietnam;Indonesia;Malaysia;Australia;Burkina Faso;Chad;Egypt;Kenya;Niger;Somalia;Sudan;Oman;Saudi Arabia;United Arab Emirates;Yemen;Tanzania;Benin;Cameroon;C√¥te d‚ÄôIvoire;Gambia;Nigeria;Senegal;Maldives;Congo - Kinshasa;Gabon;Liberia;Seychelles;Zambia;Congo - Brazzaville;Philippines;Brunei;Singapore;Central African Republic
Stoat,Mustela erminea,Chordata,,Emma,Correct,NA,1,,,EUR;AS;NAm,Georgia;Japan;Kazakhstan;Kyrgyzstan;Nepal;North Korea;South Korea;Tajikistan;Turkmenistan;Uzbekistan;Albania;Austria;Belarus;Belgium;Bulgaria;Croatia;Czechia;Finland;France;Germany;Hungary;Latvia;Liechtenstein;Lithuania;Luxembourg;Montenegro;Netherlands;North Macedonia;Poland;Romania;Russia;Slovakia;Slovenia;Spain;Switzerland;Ukraine;Serbia;Denmark;Norway;Sweden;United Kingdom;Guernsey;Ireland;Isle of Man;Jersey;Canada;United States
Nutria,Myocastor coypus,Chordata,,Emma,Correct,NA,1,,,SA,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay
Dallas grass,Paspalum dilatatum,Tracheophyta,,Emma,Correct,NA,1,,,SA,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;Guyana
,Paspalum distichum,Tracheophyta,,Emma,Correct,NA,1,,,SA;NAm,Argentina;Bolivia;Brazil;Chile;Paraguay;Uruguay;United States;Mexico;Puerto Rico;Belize;Costa Rica;El Salvador;Guatemala;Nicaragua;Panama;Trinidad & Tobago;Colombia;Ecuador;Guyana;Peru;Suriname;Venezuela;St. Vincent & Grenadines;Antigua & Barbuda;Cuba;Dominica;Dominican Republic;Haiti;Jamaica;Martinique;St. Lucia;U.S. Virgin Islands;Bahamas;Bermuda
Crucifer flea beetle/Striped flea beetle,Phyllotreta cruciferae,Arthropoda,,Emma,Added Asia (https://bugguide.net/node/view/371022),Other Generic Databases,1,,,EUR; AS,
,Phytophthora ramorum,Oomycota,,Emma,"Plant fungal pathogen, unknown origin (http://www.invadingspecies.com/sudden-oak-death/)",Other Generic Databases,1,,,UNK,
Andean raspberry,Rubus megalococcus,Tracheophyta,,Emma,Correct,NA,1,,,SA,Bolivia;Colombia;Ecuador;Peru
,Rumex lunaria,Tracheophyta,,Emma,"Originally assigned to AF because native to Canary Islands, converted to EU",NA,1,,,EU,Spain
naranjilla,Solanum quitoense,Tracheophyta,,Emma,Correct,NA,1,,,SA,Colombia;Ecuador
,Sporobolus anglicus,Tracheophyta,,Emma,"Added UK ( Cope, Tom; Gray, Alan (2009). Grasses of the British Isles: BSBI Handbook No.13. Botanical Society of Britain and Ireland. ISBN 978-0-901158-420.)",YES,1,,,EUR,United Kingdom
Mango Pulp Weevil,Sternochetus frigidus,Arthropoda,,Emma,"Removed NAm (http://www.naro.affrc.go.jp/archive/niaes/techdoc/apasd/Sternochetus%20frigidus%20-B.html), added Borneo",Other Generic Databases,1,,,AS,Indonesia; Malaysia; Brunei
Tomato leafminer or Tuta absoluta,Tuta absoluta,Arthropoda,,Emma,Changed to SA (CABI),NA,1,,,SA,
varroa mite,Varroa destructor,Arthropoda,,Emma,Changed to Asia (http://www.columbia.edu/itc/cerc/danoff-burg/invasion_bio/inv_spp_summ/varroa_destructor.html),Other Generic Databases,1,,,AS,
African clawed frog,Xenopus laevis,Chordata,,Emma,"Removed NAm, added countries (CABI)",Other Generic Databases,1,,,AF,"Angola; Botswana; Burundi; Cameroon; Central African Republic; Congo, The Democratic Republic of the; Kenya; Lesotho; Malawi; Mozambique; Namibia; Nigeria; Rwanda; South Africa; Swaziland; Tanzania; Uganda; Zambia; Zimbabwe"
Leopard moth,Zeuzera pyrina,Arthropoda,,Emma,"Removed AF, Countries due to low confidence (https://bugguide.net/node/view/33693)",Other Generic Databases,1,,,EUR,
Giant african snail,Achatina fulica,Mollusca,,Franck,AF: native to east Africa; https://www.cabi.org/isc/datasheet/2640,NA,1,,,AF,Ethiopia;Kenya;Tanzania
American aloe,Agave americana,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States;Mexico
Rugose Spiralling Whitefly,Aleurodicus rugioperculatus,Arthropoda,,Franck,"Nam: Native to Central America; Kumar, V., McKenzie, C. L., Mannion, C., Stocks, I., Smith, T., & Osborne, L. S. (2013). Rugose spiraling whitefly Aleurodicus rugioperculatus Martin (Hemiptera: Aleyrodidae). EENY578. University of Florida, IFAS Extension. Florida Department of Agriculture and Consumer Services, Division of Plant Industry, Aleurodicus rugioperculatus, pest-alert. pdf",YES,1,,,NAm,
Citrus longhorned beetle,Anoplophora chinensis,Arthropoda,,Franck,Correct,NA,1,,,AS,China;Japan;Myanmar (Burma);Taiwan;Vietnam;Malaysia;Macao SAR China;Hong Kong SAR China
Ericó africà,Atelerix albiventris,Chordata,,Franck,Correct,NA,1,,,AF,
Papaya Fruit Fly,Bactrocera philippinensis,Arthropoda,,Franck,AS: native to Philippines; http://www.guaminsects.net/gisac2015/index.php?title=Bactrocera_philippinensis,Other Generic Databases,1,,,AS,
bay barnacle,Balanus improvisus,Arthropoda,,Franck,Correct,NA,1,,,NAm,Canada;United States;Mexico
豌豆象,Bruchus pisorum,Arthropoda,,Franck,"EUR also?: eastern Mediterranean and Near East areas; Clement, S. L., McPhee, K. E., Elberson, L. R., & Evans, M. A. (2009). Pea weevil, Bruchus pisorum L.(Coleoptera: Bruchidae), resistance in Pisum sativum× Pisum fulvum interspecific crosses. Plant Breeding, 128: 478-485.",YES,1,,,EUR;AS,
Green crab,Carcinus maenas,Arthropoda,,Franck,Correct,NA,1,,,EUR;AF,Morocco;Belgium;France;Germany;Netherlands;Portugal;Spain;Mauritania;Western Sahara;Denmark;Norway;Sweden;United Kingdom;Ireland;Iceland
Sea fig,Carpobrotus edulis,Tracheophyta,,Franck,Correct,NA,1,,,AF,South Africa
distaff thistle,Carthamus lanatus,Tracheophyta,,Franck,Correct,NA,1,,,EUR;AS;AF,Algeria;Morocco;Tunisia;Georgia;Iran;Kazakhstan;Kyrgyzstan;Tajikistan;Turkey;Albania;Andorra;Belarus;Belgium;Bosnia & Herzegovina;Bulgaria;Czechia;Estonia;France;Germany;Greece;Hungary;Italy;Moldova;Poland;Portugal;Romania;Russia;Spain;Switzerland;Ukraine;Egypt;Libya;Norway;Ireland;Cyprus;Malta
featherhead knapweed,Centaurea trichocephala,Tracheophyta,,Franck,Correct,NA,1,,,AS,Iran;Kazakhstan;Moldova;Romania;Russia
compound sea squirt,Didemnum vexillum,Chordata,,Franck,Correct,NA,1,,,AS,
Quagga mussel,Dreissena bugensis,Mollusca,,Franck,Correct,NA,1,,,EUR,Ukraine
Spotted Wing Drosophila,Drosophila suzukii,Arthropoda,,Franck,AS only: https://www.cabi.org/isc/datasheet/109283,Other Generic Databases,1,,,AS,Bangladesh;China;India;North Korea;South Korea;Thailand
苹果绵蚜,Eriosoma lanigerum,Arthropoda,,Franck,"NAm: Asante, S. K. (1997). Natural enemies of the woolly apple aphid, Eriosoma lanigerum (Hausmann)(Hemiptera: Aphididae): a review of the world literature. Plant Protection Quarterly, 12: 166-172.",YES,1,,,NAm,
,Euphorbia stenoclada,Tracheophyta,,Franck,Correct,NA,1,,,AF,R√©union;Madagascar
Gambusia,Gambusia holbrooki,Chordata,,Franck,Correct,NA,1,,,NAm,United States
,Gleditsia triacanthos,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States;Mexico
Brown marmorated stink bug,Halyomorpha halys,Arthropoda,,Franck,"AS only: China, Japan, Korea, Taiwan; https://www.cabi.org/isc/datasheet/27377",Other Generic Databases,1,,,AS,China;Japan;South Korea;Taiwan
Jerusalem artichoke,Helianthus tuberosus,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States
Himalayan tahr,Hemitragus jemlahicus,Chordata,,Franck,Correct,NA,1,,,AS,Bhutan;China;India;Nepal
Teak defoliator,Hyblaea puera,Arthropoda,,Franck,"AS only: native to SE Asia; Arun, P. R., & Mahajan, M. V. (2012). Ecological costs and benefits of Teak Defoliator (Hyblaea puera Cramer) outbreaks in a mangrove ecosystem. Marine Science, 2: 48-51.",YES,1,,,AS,Bangladesh;Cambodia;China;India;Japan;Laos;Myanmar (Burma);Nepal;Sri Lanka;Taiwan;Thailand;Vietnam;Indonesia;Malaysia;Philippines;Papua New Guinea;Fiji
,Limnoperna fortunei,Mollusca,,Franck,Correct,NA,1,,,AS,
Dalmatian toadflax,Linaria dalmatica,Tracheophyta,,Franck,Correct,NA,1,,,EUR;AS,Iran;Iraq;Syria;Turkey;Albania;Bulgaria;Croatia;France;Greece;Romania
Bullfrog,Lithobates catesbeianus,Chordata,,Franck,Correct,NA,1,,,NAm,Canada;United States;Mexico
Rhesus macaque,Macaca mulatta,Chordata,,Franck,Correct,NA,1,,,AS,Afghanistan;Bangladesh;Bhutan;China;India;Laos;Myanmar (Burma);Nepal;Pakistan;Thailand;Vietnam;Macao SAR China;Hong Kong SAR China
Broad-leaved paperbark,Melaleuca quinquenervia,Tracheophyta,,Franck,Correct,NA,1,,,AS;OC,Indonesia;Australia;New Caledonia;Papua New Guinea
Wild Turkey,Meleagris gallopavo,Chordata,,Franck,Correct,NA,1,,,NAm,United States
Heartleaf iceplant,Mesembryanthemum cordifolium,Tracheophyta,,Franck,Correct,NA,1,,,AF,South Africa
Reeves's muntjac,Muntiacus reevesi,Chordata,,Franck,AS only: native region restricted to SE China and Taiwan; https://www.cabi.org/isc/datasheet/74281,Other Generic Databases,1,,,AS,China;Taiwan
Raccoon dog,Nyctereutes procyonoides,Chordata,,Franck,Correct,NA,1,,,AS,China;Japan;Mongolia;North Korea;South Korea;Vietnam;Russia;Macao SAR China
Mexican waterlily,Nymphaea mexicana,Tracheophyta,,Franck,Correct,NA,1,,,NAm,United States;Mexico
Dutch elm disease,Ophiostoma ulmi,Ascomycota,,Franck,Unknown origin; fungal pathogen,NA,1,,,,
椰子织蛾,Opisina arenosella,Arthropoda,,Franck,Correct,NA,1,,,AS,
Princesstree,Paulownia tomentosa,Tracheophyta,,Franck,Correct,NA,1,,,AS,China;Japan
Grecian silkvine,Periploca graeca,Tracheophyta,,Franck,"Plus AS: Native to S Europe and Middle East; Muzashvili, T., Masullo, M., Kemertelidze, E., Pizza, C., & Piacente, S. PP 51. CHEMICAL COMPOSITION OF PERIPLOCA GRAECA L. In 3rd INTERNATIONAL CONFERENCE on PHARMACEUTICAL SCIENCES (p. 126).",YES,1,,,EUR; AS,Georgia;Iran;Iraq;Israel;Lebanon;Turkey;Turkmenistan;Uzbekistan;Albania;Bosnia & Herzegovina;Bulgaria;Greece;Italy;Romania;Russia
avocado,Persea americana,Tracheophyta,,Franck,Correct,NA,1,,,NAm,Mexico;Belize;Costa Rica;Guatemala;Honduras;Nicaragua
Koala,Phascolarctos cinereus,Chordata,,Franck,"OC only: native to Australia; Dickens, R. K. (1975). The koala (Phascolarctos cinereus)! past, present and future. Australian Veterinary Journal, 51: 459-463.",YES,1,,,OC,Australia
,Phoenix canariensis,Tracheophyta,,Franck,Correct,NA,1,,,EUR,Spain
Prosopis,Prosopis juliflora,Tracheophyta,,Franck,Correct,NA,1,,,SA;NAm,Mexico;Costa Rica;El Salvador;Guatemala;Honduras;Nicaragua;Panama;Colombia;Venezuela
Ring-necked parakeets,Psittacula krameri,Chordata,,Franck,"AF and AS only: Strubbe, D., & Matthysen, E. (2009). Experimental evidence for nest-site competition between invasive ring-necked parakeets (Psittacula krameri) and native nuthatches (Sitta europaea). Biological Conservation, 142: 1588-1594.",YES,1,,,AS;AF,Afghanistan;Bangladesh;Bhutan;China;India;Myanmar (Burma);Nepal;Pakistan;Sri Lanka;Vietnam;Burkina Faso;Chad;Djibouti;Egypt;Eritrea;Ethiopia;Mali;Mauritania;Niger;Somalia;Sudan;Benin;Cameroon;Gambia;Ghana;Guinea;Guinea-Bissau;Nigeria;Senegal;Togo;Uganda;Liberia;Sierra Leone;Central African Republic
tropical kudzu,Pueraria phaseoloides,Tracheophyta,,Franck,AS only; https://www.cabi.org/isc/datasheet/45906,Other Generic Databases,1,,,AS,Bangladesh;Bhutan;Cambodia;China;India;Laos;Myanmar (Burma);Nepal;Sri Lanka;Taiwan;Thailand;Vietnam;Indonesia;Malaysia;Solomon Islands;Philippines;Papua New Guinea;Brunei;Hong Kong SAR China
